,goal_number,match_api_id,comment,elapsed,event_incident_typefk,goal_type,goal_id,n,player1,player2,sortorder,stats,subtype,team,type,elapsed_plus,del,coordinates
3897,4,1024358,n,60,393,n,1625045,309,37412,26181,1,,shot,8456,goal,,,
3898,5,1024358,n,68,406,n,1625108,306,26108,30840,1,,header,8586,goal,,,
3899,6,1024358,n,90,407,n,1625354,335,15403,23782,11,,distance,8456,goal,3,,
3900,1,1024363,n,90,393,n,1626081,297,106910,33881,1,,shot,10194,goal,,,
3901,1,1024367,n,41,393,n,1621821,139,49825,71550,0,,shot,8528,goal,,,
3902,2,1024367,n,66,288,n,1621964,156,49825,,0,,deflected,8528,goal,,,
3903,1,1025771,n,16,393,n,2011324,234,78513,37950,1,,shot,9825,goal,,,
3904,2,1025771,n,25,393,n,2011451,257,31013,23678,1,,shot,9825,goal,,,
3905,3,1025771,n,90,130,n,2012658,321,24011,,1,,direct_freekick,9825,goal,3,,
3906,1,1025780,n,28,406,n,2011509,220,24166,33633,4,,header,8559,goal,,,
3907,2,1025780,n,35,406,n,2011601,228,24166,245422,0,,header,8559,goal,,,
3908,3,1025780,n,56,406,n,2012070,253,109621,23916,2,,header,8655,goal,,,
3909,1,1025786,p,30,20,p,2011529,193,41061,,0,,,8528,goal,,,
3910,2,1025786,n,47,393,n,2011955,208,40636,30618,3,,shot,8650,goal,,,
3911,3,1025786,dg,53,299,dg,2012063,94,40636,,5,,header,8650,goal,,,
3912,4,1025786,n,63,393,n,2012234,225,41071,101192,5,,shot,8528,goal,,,
3913,1,1025790,n,42,393,n,2019315,250,30829,43248,3,,shot,10260,goal,,,
3914,1,1025794,n,25,393,n,2011462,193,23538,23291,1,,shot,8602,goal,,,
3915,2,1025794,n,26,406,n,2011485,194,24698,24693,2,,header,9850,goal,,,
3916,3,1025794,p,45,20,p,2011781,210,24698,,0,,,9850,goal,1,,
3917,1,1025796,n,59,393,n,2013864,268,30830,34601,2,,shot,10194,goal,,,
3918,2,1025796,n,76,407,n,2014007,281,36615,31291,0,,distance,8456,goal,,,
3919,1,1025802,n,41,406,n,2011686,243,36410,175947,11,,header,8472,goal,,,
3920,2,1025802,n,70,80,n,2012314,279,175947,,4,,shot,8472,goal,,,
3921,3,1025802,n,76,393,n,2012411,284,33468,40563,1,,shot,8472,goal,,,
3922,4,1025802,n,79,130,n,2012444,287,25541,,0,,direct_freekick,10172,goal,,,
3923,1,1025805,n,58,130,n,2012125,259,24846,,2,,direct_freekick,8668,goal,,,
3924,2,1025805,n,76,721,n,2012419,271,8922,39618,3,,tap_in,8668,goal,,,
