,goal_number,match_api_id,comment,elapsed,event_incident_typefk,goal_type,goal_id,n,player1,player2,sortorder,stats,subtype,team,type,elapsed_plus,del,coordinates
0,1,489042,n,22,406,n,378998,295,37799,38807,5,,header,10261,goal,,,
1,2,489042,n,24,393,n,379019,298,24148,24154,4,,shot,10260,goal,,,
2,1,489043,n,4,393,n,375546,231,26181,39297,2,,shot,9825,goal,,,
3,1,489044,n,83,407,n,378041,344,30853,30889,0,,distance,8650,goal,,,
4,1,489045,n,4,393,n,376060,244,23139,36394,2,,shot,8654,goal,,,
5,2,489045,n,10,393,n,376165,251,23139,37277,1,,shot,8654,goal,,,
6,3,489045,n,47,411,n,376929,294,127857,34466,3,,volley,8528,goal,,,
7,1,489046,n,47,406,n,378837,251,26165,23354,2,,header,10252,goal,,,
8,2,489046,p,64,20,p,378981,266,40198,,0,,,8456,goal,,,
9,3,489046,n,69,393,n,379030,270,23264,24658,1,,shot,10252,goal,,,
10,4,489046,n,74,406,n,379074,283,23264,23782,1,,header,10252,goal,,,
11,5,489046,n,76,393,n,379095,277,23264,23782,1,,shot,10252,goal,,,
12,6,489046,n,90,393,n,379250,281,46403,45431,1,,shot,8456,goal,,,
13,1,489047,n,22,407,n,376354,252,30342,23916,0,,distance,8655,goal,,,
14,2,489047,n,45,130,n,376795,277,24011,,0,,direct_freekick,8668,goal,2,,
15,3,489047,n,65,406,n,377232,305,24160,24011,0,,header,8668,goal,,,
16,4,489047,n,67,393,n,377255,297,30646,24136,0,,shot,8655,goal,,,
17,5,489047,n,90,393,n,377671,320,37764,23921,1,,shot,8655,goal,5,,
18,1,489048,dg,32,299,dg,376536,76,24166,,1,,header,8549,goal,,,
19,2,489048,n,71,393,n,377347,338,24166,35608,7,,shot,8549,goal,,,
20,3,489048,n,86,393,n,377556,355,38491,33128,3,,shot,8549,goal,,,
21,4,489048,o,90,115,o,377648,366,38899,,1,,,8549,goal,3,,
22,1,489049,n,34,407,n,376569,298,26454,23933,0,,distance,8559,goal,,,
23,2,489049,n,41,406,n,376692,303,23934,23783,2,,header,8559,goal,,,
24,3,489049,n,45,406,n,376818,311,34261,23931,2,,header,8559,goal,2,,
25,4,489049,n,90,406,n,377666,362,38755,23371,4,,header,10194,goal,3,,
26,1,489050,n,9,406,n,376153,231,34248,24843,1,,header,9879,goal,,,
27,2,489050,n,23,407,n,376379,243,39073,34430,1,,distance,8667,goal,,,
28,3,489050,n,82,393,n,377500,295,23563,23034,1,,shot,8667,goal,,,
29,1,489051,n,12,393,n,378202,273,30630,30699,3,,shot,8455,goal,,,
30,2,489051,n,26,406,n,378245,287,37804,30686,2,,header,8455,goal,,,
31,3,489051,p,45,20,p,378318,305,30631,,0,,,8455,goal,2,,
32,4,489051,n,89,407,n,378626,354,30686,30367,4,,distance,8455,goal,,,
33,1,489132,n,14,393,n,463925,208,30893,40945,4,,shot,10260,goal,,,
34,2,489132,n,30,393,n,464314,220,30893,27430,2,,shot,10260,goal,,,
35,1,489133,n,13,407,n,463841,224,23760,30818,0,,distance,8586,goal,,,
36,2,489133,n,37,406,n,464406,259,30616,30843,2,,header,9825,goal,,,
37,3,489133,n,46,406,n,464813,270,38835,30843,3,,header,9825,goal,,,
38,4,489133,n,64,393,n,465227,293,30960,26181,2,,shot,9825,goal,,,
39,5,489133,n,68,80,n,465295,295,23949,,1,,shot,8586,goal,,,
40,6,489133,n,68,393,n,465304,296,30843,30960,2,,shot,9825,goal,,,
41,7,489133,n,89,80,n,465663,316,30818,,0,,shot,8586,goal,,,
42,8,489133,n,90,80,n,465718,327,30895,,1,,shot,8586,goal,4,,
43,1,489134,p,53,20,p,464942,298,35608,,0,,,8549,goal,,,
44,2,489134,n,90,393,n,465709,297,24393,42183,4,,shot,8549,goal,4,,
45,1,489135,n,90,406,n,465700,321,39618,36012,2,,header,8668,goal,,,
46,1,489136,n,3,80,n,463422,228,30631,,0,,shot,8455,goal,,,
47,2,489136,n,50,80,n,464624,232,37804,,2,,shot,8455,goal,,,
48,3,489136,n,75,393,n,465095,271,30679,30911,3,,shot,8455,goal,,,
49,1,489137,n,73,406,n,465096,321,38755,25668,2,,header,10194,goal,,,
50,1,489138,p,76,20,p,465392,278,30618,,0,,,8650,goal,,,
51,1,489139,n,30,393,n,463874,244,24136,34947,1,,shot,8655,goal,,,
52,2,489139,n,45,393,n,464313,261,30357,23282,0,,shot,10252,goal,2,,
53,3,489139,n,65,393,n,464895,281,23782,38807,0,,shot,10252,goal,,,
54,4,489139,n,87,393,n,465386,307,23264,23354,3,,shot,10252,goal,,,
55,5,489139,n,90,130,n,465513,312,30842,,0,,direct_freekick,8655,goal,4,,
56,1,489140,p,10,20,p,462695,271,24205,,0,,,10261,goal,,,
57,2,489140,n,42,406,n,462869,305,37799,25518,1,,header,10261,goal,,,
58,3,489140,n,65,393,n,462999,326,27267,40055,3,,shot,8659,goal,,,
59,1,489141,n,11,393,n,463522,211,31907,24781,0,,shot,9879,goal,,,
60,2,489141,n,60,393,n,464828,265,31907,24843,2,,shot,9879,goal,,,
61,1,489142,n,3,393,n,466901,190,30893,27430,1,,shot,10260,goal,,,
62,2,489142,n,23,406,n,467171,205,26143,23022,0,,header,8667,goal,,,
63,3,489142,n,29,393,n,467264,211,34944,27430,1,,shot,10260,goal,,,
64,4,489142,dg,40,298,dg,467429,66,30829,,1,,shot,10260,goal,,,
65,5,489142,n,44,406,n,467495,227,30893,40945,0,,header,10260,goal,,,
66,6,489142,n,57,393,n,467857,242,30865,30829,4,,shot,10260,goal,,,
67,7,489142,n,69,80,n,468051,250,32577,,2,,shot,8667,goal,,,
68,8,489142,p,82,20,p,468239,267,39073,,0,,,8667,goal,,,
69,1,489143,n,3,393,n,468555,239,37139,24635,3,,shot,8650,goal,,,
70,2,489143,o,69,115,o,468934,304,30617,,3,,,8650,goal,,,
71,3,489143,n,90,393,n,469035,328,40755,23949,2,,shot,8586,goal,1,,
72,1,489144,n,87,406,n,466744,323,30735,24006,3,,header,8668,goal,,,
73,1,489145,n,21,393,n,467145,236,24747,30734,0,,shot,8654,goal,,,
74,2,489145,n,82,130,n,468240,317,38491,,5,,direct_freekick,8549,goal,,,
75,1,489146,n,60,407,n,473071,307,37799,24205,1,,distance,10261,goal,,,
76,2,489146,n,83,393,n,473124,332,37799,33852,0,,shot,10261,goal,,,
77,1,489147,n,77,393,n,471685,350,23937,23932,1,,shot,8559,goal,,,
78,2,489147,o,88,115,o,471816,363,24211,,1,,,8456,goal,,,
79,1,489148,p,13,20,p,467018,230,34947,,0,,,8655,goal,,,
80,2,489148,n,55,393,n,467819,288,32570,27267,4,,shot,8659,goal,,,
81,3,489148,n,62,407,n,467926,298,27267,24664,1,,distance,8659,goal,,,
82,4,489148,n,89,39,n,468356,322,38711,,2,,distance,8655,goal,,,
83,1,489149,p,45,20,p,467538,272,127857,,3,,,8528,goal,,,
84,2,489149,n,82,393,n,468290,321,38820,30830,5,,shot,8462,goal,,,
85,3,489149,n,90,393,n,468417,332,34466,25150,2,,shot,8528,goal,2,,
86,1,489150,n,11,406,n,467013,260,38755,25668,1,,header,10194,goal,,,
87,2,489150,n,73,406,n,468113,318,23333,25668,1,,header,10194,goal,,,
88,3,489150,n,90,414,n,468415,334,31291,30613,1,,deflected,9825,goal,4,,
89,1,489151,n,27,391,n,467232,236,26564,30630,2,,loose_ball,8455,goal,,,
90,2,489151,n,30,393,n,467268,238,37804,26564,2,,shot,8455,goal,,,
91,3,489151,n,45,393,n,467547,230,37804,30679,4,,shot,8455,goal,1,,
92,4,489151,n,51,406,n,467740,248,30631,30630,1,,header,8455,goal,,,
93,5,489151,n,53,393,n,467776,260,37804,30679,2,,shot,8455,goal,,,
94,1,489152,dg,9,298,dg,477576,4,27430,,0,,shot,10260,goal,,,
95,2,489152,n,22,288,n,477652,319,26181,,4,,deflected,9825,goal,,,
96,3,489152,n,48,407,n,477793,347,26181,30613,1,,distance,9825,goal,,,
97,4,489152,n,90,80,n,478022,365,38994,,4,,shot,10260,goal,,,
98,1,489153,n,34,393,n,479444,234,24635,30618,2,,shot,8650,goal,,,
99,2,489153,n,43,393,n,479490,213,24635,34222,7,,shot,8650,goal,,,
100,3,489153,n,90,393,n,479730,260,37442,37139,1,,shot,8650,goal,3,,
101,1,489154,n,4,393,n,478161,214,33418,17866,1,,shot,8472,goal,,,
102,2,489154,n,51,407,n,478689,244,40987,38820,0,,distance,8462,goal,,,
103,3,489154,p,90,20,p,479097,284,30348,,2,,,8462,goal,1,,
104,1,489155,n,63,393,n,478875,345,109898,24223,6,,shot,8654,goal,,,
105,2,489155,n,83,406,n,479073,348,33086,30735,1,,header,8668,goal,,,
106,3,489155,n,85,414,n,479090,384,30735,25666,1,,deflected,8668,goal,,,
107,4,489155,n,87,407,n,479102,334,30735,30876,3,,distance,8668,goal,,,
108,1,489156,n,34,80,n,481521,282,42183,,2,,shot,8549,goal,,,
109,2,489156,n,37,406,n,481560,355,23283,38807,4,,header,10252,goal,,,
110,3,489156,n,88,80,n,482570,369,42183,,2,,shot,8549,goal,,,
111,1,489157,n,16,391,n,481298,230,33974,30340,2,,loose_ball,8456,goal,,,
112,2,489157,n,29,393,n,481496,306,23949,31097,1,,shot,8586,goal,,,
113,3,489157,n,64,393,n,482195,302,23949,30818,1,,shot,8586,goal,,,
114,1,489158,n,40,414,n,480697,268,37804,25925,6,,deflected,8455,goal,,,
115,2,489158,n,68,393,n,481020,295,37804,30631,1,,shot,8455,goal,,,
116,1,489159,n,23,80,n,482197,244,31907,,2,,shot,9879,goal,,,
117,2,489159,n,57,393,n,482842,320,24225,37799,1,,shot,10261,goal,,,
118,3,489159,p,66,20,p,482919,322,30338,,1,,,9879,goal,,,
119,1,489160,n,50,393,n,478703,285,24372,23783,2,,shot,8559,goal,,,
120,1,489162,n,4,130,n,486869,190,30893,,0,,direct_freekick,10260,goal,,,
121,2,489162,n,45,393,n,487579,224,34944,30893,1,,shot,10260,goal,1,,
122,3,489162,n,49,393,n,487739,229,27430,38817,1,,shot,10260,goal,,,
123,4,489162,n,84,407,n,488357,265,113836,111975,2,,distance,10260,goal,,,
124,5,489162,n,89,130,n,488443,271,30893,,0,,direct_freekick,10260,goal,,,
125,1,489163,npm,20,159,npm,487147,54,23354,,0,,saved,10252,goal,,,
126,2,489163,o,70,115,o,488099,313,31291,,3,,,9825,goal,,,
127,3,489163,n,80,393,n,488254,322,23264,43280,1,,shot,10252,goal,,,
128,1,489165,n,8,393,n,489911,260,24393,30892,3,,shot,8549,goal,,,
129,2,489165,n,65,406,n,490636,339,24160,24011,3,,header,8668,goal,,,
130,1,489166,n,3,39,n,486865,255,24890,,2,,distance,8528,goal,,,
131,2,489166,n,80,131,n,488312,357,30619,,1,,loose_ball,10261,goal,,,
132,3,489166,n,87,393,n,488436,364,37799,29581,1,,shot,10261,goal,,,
133,4,489166,n,89,406,n,488465,367,24230,37684,3,,header,8528,goal,,,
134,1,489167,n,45,406,n,487580,268,19020,23916,1,,header,8655,goal,2,,
135,2,489167,n,49,167,n,487745,284,30988,,5,,bicycle_kick,8472,goal,,,
136,3,489167,n,71,393,n,488148,302,33418,38802,1,,shot,8472,goal,,,
137,1,489168,n,33,288,n,487365,284,24020,,0,,deflected,9879,goal,,,
138,2,489168,n,70,393,n,488094,320,31907,24020,2,,shot,9879,goal,,,
139,3,489168,n,81,393,n,488278,339,24157,23760,3,,shot,8586,goal,,,
140,1,489169,n,28,406,n,486531,253,37139,34222,2,,header,8650,goal,,,
141,2,489169,dg,45,299,dg,486560,101,23783,,0,,header,8559,goal,2,,
142,3,489169,n,73,406,n,486671,300,30618,30853,1,,header,8650,goal,,,
143,1,489170,n,34,39,n,488694,236,25925,,0,,distance,8455,goal,,,
144,2,489170,n,38,393,n,488701,239,37804,30679,2,,shot,8455,goal,,,
145,3,489170,n,45,393,n,488714,246,37804,31906,1,,shot,8455,goal,1,,
146,1,489171,n,14,80,n,491389,281,26143,,0,,shot,8667,goal,,,
147,2,489171,n,37,80,n,491660,302,24213,,0,,shot,8456,goal,,,
148,3,489171,n,45,393,n,491749,305,24213,33963,1,,shot,8456,goal,,,
149,4,489171,n,60,130,n,492075,332,39073,,2,,direct_freekick,8667,goal,,,
150,1,489173,n,20,288,n,499914,319,30966,,3,,deflected,8654,goal,,,
151,1,489174,n,9,393,n,498739,263,40755,30895,1,,shot,8586,goal,,,
152,1,489176,n,8,406,n,495126,235,26454,24372,1,,header,8559,goal,,,
153,2,489176,n,10,393,n,495174,238,24372,26454,2,,shot,8559,goal,,,
154,3,489176,n,77,393,n,496486,325,24167,24166,5,,shot,8549,goal,,,
155,4,489176,n,78,393,n,496502,313,34261,35532,1,,shot,8559,goal,,,
156,1,489177,n,45,131,n,495831,259,24213,,0,,loose_ball,8456,goal,2,,
157,2,489177,n,56,393,n,496107,276,33974,30367,2,,shot,8456,goal,,,
158,3,489177,p,90,20,p,496750,315,51553,,5,,,8456,goal,1,,
159,1,489178,n,20,406,n,495329,292,30830,26108,3,,header,8462,goal,,,
160,2,489178,n,54,406,n,496069,337,34275,26066,2,,header,8667,goal,,,
161,3,489178,n,63,39,n,496258,340,34036,,7,,distance,8462,goal,,,
162,4,489178,o,88,115,o,496682,373,24630,,0,,,8462,goal,,,
163,1,489179,n,84,406,n,496585,310,23314,35467,2,,header,10194,goal,,,
164,1,489180,n,51,393,n,502113,296,24841,35327,2,,shot,8528,goal,,,
165,1,489181,dg,55,304,dg,496096,173,30630,,0,,loose_ball,8455,goal,,,
166,1,489183,n,11,393,n,507018,250,33418,38802,2,,shot,8472,goal,,,
167,2,489183,n,18,406,n,507106,255,24372,26454,1,,header,8559,goal,,,
168,3,489183,n,21,80,n,507142,259,23783,,4,,shot,8559,goal,,,
169,4,489183,dg,30,298,dg,507259,148,33418,,2,,shot,8472,goal,,,
170,5,489183,n,39,393,n,507390,278,34261,23783,3,,shot,8559,goal,,,
171,6,489183,n,55,393,n,507734,295,34261,23933,2,,shot,8559,goal,,,
172,1,489184,n,51,414,n,510671,318,36012,24011,1,,deflected,8668,goal,,,
173,1,489186,dg,83,298,dg,508138,126,35608,,0,,shot,8549,goal,,,
174,1,489187,n,42,391,n,509706,289,30829,34944,5,,loose_ball,10260,goal,,,
175,1,489188,n,49,406,n,510681,312,30830,34036,1,,header,8462,goal,,,
176,2,489188,n,53,393,n,510747,317,30348,38820,1,,shot,8462,goal,,,
177,3,489188,n,62,406,n,510896,333,23170,23916,2,,header,8655,goal,,,
178,4,489188,n,67,39,n,510978,335,23913,,3,,distance,8655,goal,,,
179,5,489188,n,79,131,n,511180,351,24653,,1,,loose_ball,8462,goal,,,
180,1,489189,n,45,393,n,507510,273,23352,34437,4,,shot,8667,goal,2,,
181,2,489189,p,73,20,p,508038,303,38755,,0,,,10194,goal,,,
182,1,489190,n,47,80,n,507564,298,27267,,0,,shot,8659,goal,,,
183,2,489190,n,61,80,n,507809,316,24841,,2,,shot,8528,goal,,,
184,3,489190,n,87,406,n,508189,354,35472,24663,1,,header,8528,goal,,,
185,1,489191,o,31,115,o,511061,265,30986,,0,,,9825,goal,,,
186,2,489191,n,59,393,n,511676,301,30843,39297,3,,shot,9825,goal,,,
187,3,489191,n,62,393,n,511707,303,30843,30960,3,,shot,9825,goal,,,
188,1,489192,n,90,80,n,517584,342,30865,,1,,shot,10260,goal,1,,
189,1,489193,n,16,393,n,515461,252,30960,23678,3,,shot,9825,goal,,,
190,1,489194,n,68,406,n,521882,329,30354,30895,2,,header,8586,goal,,,
191,2,489194,n,90,393,n,521942,365,25421,46403,6,,shot,8586,goal,,,
192,1,489195,n,1,407,n,519636,237,23283,38807,3,,distance,10252,goal,,,
193,2,489195,n,30,393,n,519982,263,33086,24006,3,,shot,8668,goal,,,
194,3,489195,n,54,80,n,520414,298,23354,,1,,shot,10252,goal,,,
195,4,489195,n,90,390,n,520786,337,33086,30876,0,,bicycle_kick,8668,goal,3,,
196,5,489195,n,90,393,n,520791,339,23354,23264,2,,shot,10252,goal,4,,
197,1,489196,n,8,393,n,515383,227,30619,33852,3,,shot,10261,goal,,,
198,2,489196,n,24,393,n,515570,238,30619,37799,1,,shot,10261,goal,,,
199,3,489196,n,60,393,n,516225,279,23314,38755,1,,shot,10194,goal,,,
200,4,489196,n,90,393,n,516653,309,40005,23253,4,,shot,10194,goal,1,,
201,1,489197,n,69,71,n,516316,264,30889,,2,,,8650,goal,,,
202,2,489197,n,79,393,n,516482,272,24800,37139,3,,shot,8650,goal,,,
203,3,489197,n,85,406,n,516551,276,30646,37764,2,,header,8655,goal,,,
204,4,489197,n,90,407,n,516667,275,30618,37920,0,,distance,8650,goal,5,,
205,1,489198,n,6,406,n,514959,208,25342,30509,2,,header,8456,goal,,,
206,2,489198,n,27,393,n,514999,219,24843,24741,1,,shot,9879,goal,,,
207,1,489199,n,9,406,n,515390,245,37804,25925,2,,header,8455,goal,,,
208,2,489199,n,21,390,n,515534,249,30686,30699,3,,bicycle_kick,8455,goal,,,
209,1,489200,n,39,131,n,519492,209,24664,,1,,loose_ball,8659,goal,,,
210,2,489200,n,58,407,n,519795,241,30830,24653,4,,distance,8462,goal,,,
211,1,489201,n,79,393,n,516509,331,42183,33754,2,,shot,8549,goal,,,
212,2,489201,o,82,115,o,516529,330,22978,,1,,,8549,goal,,,
213,3,489201,p,85,20,p,516571,334,23352,,2,,,8667,goal,,,
214,1,489202,n,12,406,n,526644,295,40132,23352,2,,header,8667,goal,,,
215,2,489202,o,22,115,o,526804,304,30617,,2,,,8650,goal,,,
216,3,489202,n,24,393,n,526841,316,30618,37139,1,,shot,8650,goal,,,
217,4,489202,n,32,393,n,526956,319,30618,24800,2,,shot,8650,goal,,,
218,1,489203,n,22,406,n,526805,277,30988,17866,4,,header,8472,goal,,,
219,2,489203,n,24,131,n,526830,280,30988,,0,,loose_ball,8472,goal,,,
220,3,489203,n,40,406,n,527071,294,17866,38802,0,,header,8472,goal,,,
221,4,489203,p,47,20,p,527336,305,33418,,2,,,8472,goal,,,
222,1,489204,dg,54,298,dg,528443,149,30893,,0,,shot,10260,goal,,,
223,1,489205,n,17,395,n,526708,218,34261,23934,2,,,8559,goal,,,
224,2,489205,n,25,393,n,526848,227,23264,43280,2,,shot,10252,goal,,,
225,3,489205,o,40,115,o,527075,246,23934,,2,,,8559,goal,,,
226,4,489205,n,67,406,n,527657,268,23264,23354,3,,header,10252,goal,,,
227,5,489205,n,78,393,n,527847,274,23354,23264,3,,shot,10252,goal,,,
228,6,489205,n,86,406,n,527957,281,23934,26454,2,,header,8559,goal,,,
229,1,489206,n,17,406,n,525965,234,30960,30613,2,,header,9825,goal,,,
230,2,489206,n,29,406,n,526021,245,24753,42183,1,,header,8549,goal,,,
231,1,489207,n,90,406,n,528068,289,30876,24006,1,,header,8668,goal,2,,
232,1,489208,n,52,393,n,529766,254,30619,33852,1,,shot,10261,goal,,,
233,2,489208,n,77,393,n,529875,281,37799,37475,0,,shot,10261,goal,,,
234,3,489208,n,89,393,n,529965,296,40565,24225,2,,shot,10261,goal,,,
235,1,489210,n,10,393,n,526631,234,34466,35327,1,,shot,8528,goal,,,
236,2,489210,n,12,393,n,526652,232,35327,34987,3,,shot,8528,goal,,,
237,3,489210,n,77,393,n,527852,316,25150,35327,1,,shot,8528,goal,,,
238,1,489211,n,33,393,n,530412,246,33781,37169,2,,shot,8654,goal,,,
239,2,489211,n,51,393,n,530541,271,37804,30631,1,,shot,8455,goal,,,
240,1,489212,n,1,393,n,551304,231,30829,30893,2,,shot,10260,goal,,,
241,1,489213,n,24,393,n,537057,208,30843,26181,0,,shot,9825,goal,,,
242,2,489213,n,42,411,n,537174,229,24635,25984,2,,volley,8650,goal,,,
243,1,489214,o,78,115,o,534892,331,30687,,2,,,8654,goal,,,
244,1,489215,dg,84,304,dg,538430,94,36012,,0,,loose_ball,8668,goal,,,
245,1,489216,n,12,393,n,536546,244,29581,24224,0,,shot,10261,goal,,,
246,2,489216,n,29,80,n,536706,262,31097,,0,,shot,8586,goal,,,
247,3,489216,n,90,393,n,537204,323,34574,30623,2,,shot,10261,goal,,,
248,1,489217,p,9,20,p,533678,252,34947,,2,,,8655,goal,,,
249,2,489217,n,18,131,n,533744,261,34176,,1,,loose_ball,8655,goal,,,
250,3,489217,n,27,391,n,533827,271,34947,34176,2,,loose_ball,8655,goal,,,
251,1,489218,n,41,391,n,533947,220,24843,24741,0,,loose_ball,9879,goal,,,
252,2,489218,p,54,20,p,534100,240,30338,,1,,,9879,goal,,,
253,3,489218,n,59,393,n,534148,246,30956,30338,3,,shot,9879,goal,,,
254,1,489219,n,1,393,n,533619,219,24372,24336,4,,shot,8559,goal,,,
255,2,489219,n,3,393,n,533638,223,23937,24372,3,,shot,8559,goal,,,
256,3,489219,n,20,406,n,533762,240,30830,38820,3,,header,8462,goal,,,
257,1,489220,n,69,393,n,536437,326,23788,24171,0,,shot,8659,goal,,,
258,2,489220,dg,77,346,dg,536483,185,41073,,0,,,8659,goal,,,
259,3,489220,o,84,115,o,536567,330,36373,,1,,,8659,goal,,,
260,4,489220,n,90,406,n,536643,343,32570,31731,0,,header,8659,goal,3,,
261,1,489221,n,10,407,n,533696,197,38802,24408,1,,distance,8472,goal,,,
262,2,489221,n,19,80,n,533761,206,23025,,1,,shot,8667,goal,,,
263,3,489221,dg,73,298,dg,534247,148,26143,,1,,shot,8667,goal,,,
264,4,489221,o,78,115,o,534294,262,26066,,0,,,8667,goal,,,
265,5,489221,n,84,406,n,534347,276,30988,38802,1,,header,8472,goal,,,
266,6,489221,n,90,393,n,534406,283,33418,30954,2,,shot,8472,goal,1,,
267,1,489222,n,26,393,n,539657,286,37920,30618,1,,shot,8650,goal,,,
268,2,489222,n,53,393,n,539960,321,24635,30618,2,,shot,8650,goal,,,
269,3,489222,n,58,393,n,540010,323,24635,24800,1,,shot,8650,goal,,,
270,1,489224,dg,47,346,dg,539948,108,30342,,0,,,8655,goal,,,
271,1,489226,n,40,80,n,540576,299,39297,,1,,shot,9825,goal,,,
272,2,489226,n,49,393,n,540603,306,27277,30935,1,,shot,9825,goal,,,
273,3,489226,p,64,20,p,540641,322,23782,,4,,,10252,goal,,,
274,4,489226,n,90,393,n,540721,351,40128,23354,4,,shot,10252,goal,1,,
275,1,489227,dg,10,298,dg,539458,18,36012,,0,,shot,8668,goal,,,
276,2,489227,n,51,131,n,539944,290,30876,,0,,loose_ball,8668,goal,,,
277,1,489228,n,15,393,n,539529,221,41622,24213,2,,shot,8456,goal,,,
278,2,489228,n,27,393,n,539677,243,41622,24213,1,,shot,8456,goal,,,
279,3,489228,n,28,393,n,539690,227,33974,24213,2,,shot,8456,goal,,,
280,4,489228,n,36,393,n,539760,240,33974,30367,0,,shot,8456,goal,,,
281,5,489228,n,80,131,n,540286,306,23034,,2,,loose_ball,8667,goal,,,
282,6,489228,n,82,393,n,540294,297,24213,33974,0,,shot,8456,goal,,,
283,1,489229,n,8,393,n,538564,254,40987,30830,2,,shot,8462,goal,,,
284,2,489229,n,20,393,n,538655,271,109898,34543,2,,shot,8654,goal,,,
285,3,489229,psm,45,181,psm,538898,116,30348,,0,,,8462,goal,2,,
286,4,489229,n,67,393,n,539163,343,34543,30966,4,,shot,8654,goal,,,
287,5,489229,n,70,80,n,539187,366,33781,,4,,shot,8654,goal,,,
288,6,489229,n,83,393,n,539288,368,33781,30734,2,,shot,8654,goal,,,
289,1,489230,n,83,393,n,539170,300,38817,27430,6,,shot,10260,goal,,,
290,1,489231,n,29,130,n,539703,210,24890,,1,,direct_freekick,8528,goal,,,
291,2,489231,p,73,20,p,540227,247,127857,,1,,,8528,goal,,,
292,3,489231,p,88,20,p,540401,277,40565,,2,,,10261,goal,,,
293,1,489232,n,3,406,n,538534,260,30822,30630,3,,header,8455,goal,,,
294,2,489232,n,45,393,n,538904,284,30631,38834,1,,shot,8455,goal,2,,
295,1,489052,n,70,407,n,383158,346,38491,24753,2,,distance,8549,goal,,,
296,2,489052,o,85,115,o,383417,364,24167,,0,,,8549,goal,,,
297,3,489052,n,90,407,n,383558,374,30618,24635,0,,distance,8650,goal,5,,
298,1,489053,n,56,80,n,382873,329,30352,,2,,shot,8472,goal,,,
299,2,489053,n,74,391,n,383209,358,30818,31097,0,,loose_ball,8586,goal,,,
300,3,489053,n,83,406,n,383352,371,33418,24410,1,,header,8472,goal,,,
301,1,489054,n,72,406,n,383230,287,30619,23983,1,,header,10261,goal,,,
302,1,489055,n,65,80,n,384884,236,51553,,2,,shot,8456,goal,,,
303,2,489055,n,71,393,n,384913,241,40198,24213,0,,shot,8456,goal,,,
304,3,489055,n,76,393,n,384941,243,40198,24213,0,,shot,8456,goal,,,
305,1,489056,n,39,393,n,382458,266,34176,23922,1,,shot,8655,goal,,,
306,2,489056,n,40,406,n,382486,268,23438,23034,1,,header,8667,goal,,,
307,1,489057,n,21,411,n,383724,284,26777,24843,2,,volley,9879,goal,,,
308,1,489058,dg,64,299,dg,383057,175,109058,,1,,header,8668,goal,,,
309,2,489058,n,65,393,n,383077,328,24006,24011,1,,shot,8668,goal,,,
310,3,489058,n,76,406,n,383288,351,24160,33086,1,,header,8668,goal,,,
311,4,489058,p,89,20,p,383474,359,32570,,0,,,8659,goal,,,
312,1,489059,n,33,393,n,385689,275,24148,32569,1,,shot,10260,goal,,,
313,1,489060,p,29,20,p,382318,214,24435,,2,,,10194,goal,,,
314,2,489060,n,63,393,n,383048,238,26165,23354,1,,shot,10252,goal,,,
315,3,489060,n,81,393,n,383370,251,38755,24435,4,,shot,10194,goal,,,
316,4,489060,n,84,393,n,383408,255,43280,26165,0,,shot,10252,goal,,,
317,5,489060,n,90,406,n,383562,261,23314,25668,0,,header,10194,goal,5,,
318,1,489061,n,4,130,n,383945,267,30686,,0,,direct_freekick,8455,goal,,,
319,1,489233,n,69,131,n,543015,345,27430,,3,,loose_ball,10260,goal,,,
320,1,489234,n,81,406,n,542310,331,38835,39297,5,,header,9825,goal,,,
321,1,489235,n,4,406,n,541190,263,40005,33941,5,,header,10194,goal,,,
322,2,489235,n,51,393,n,541928,321,34543,24223,6,,shot,8654,goal,,,
323,3,489235,n,87,393,n,542433,354,40611,34543,2,,shot,8654,goal,,,
324,1,489236,n,10,130,n,541311,178,24011,,0,,direct_freekick,8668,goal,,,
325,2,489236,n,27,288,n,541534,191,24011,,1,,deflected,8668,goal,,,
326,3,489236,n,83,393,n,542358,242,46810,33086,4,,shot,8668,goal,,,
327,1,489237,n,31,393,n,541033,208,30618,24800,2,,shot,8650,goal,,,
328,2,489237,dg,34,298,dg,541036,71,30619,,1,,shot,10261,goal,,,
329,3,489237,n,36,406,n,541042,211,24134,30618,3,,header,8650,goal,,,
330,4,489237,n,45,406,n,541057,220,24234,40565,3,,header,10261,goal,1,,
331,5,489237,n,50,80,n,541066,224,30915,,2,,shot,8650,goal,,,
332,6,489237,n,66,393,n,541088,232,30618,95327,1,,shot,8650,goal,,,
333,7,489237,p,75,20,p,541106,242,30889,,3,,,8650,goal,,,
334,8,489237,dg,79,298,dg,541111,128,41175,,1,,shot,8650,goal,,,
335,1,489238,n,45,393,n,542660,281,34947,34176,4,,shot,8655,goal,1,,
336,2,489238,n,84,406,n,542766,320,34176,19020,2,,header,8655,goal,,,
337,3,489238,n,88,6,n,542779,322,51553,,2,,volley,8456,goal,,,
338,4,489238,n,90,393,n,542791,327,33974,51553,1,,shot,8456,goal,4,,
339,1,489239,n,10,393,n,541290,217,30956,24020,3,,shot,9879,goal,,,
340,2,489239,n,50,80,n,541877,248,30631,,0,,shot,8455,goal,,,
341,3,489239,n,72,130,n,542199,273,30631,,1,,direct_freekick,8455,goal,,,
342,4,489239,n,89,406,n,542426,291,30956,30338,3,,header,9879,goal,,,
